"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"HOPERF-RFM69HW";1;"RFM69HW";;;
2;"U1";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F103C8Tx";;;
3;"R1";"R_0603_HandSoldering";1;"10K";;;
4;"J2";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"Antenna";;;
5;"C1";"C_0603_HandSoldering";1;"1uF";;;
6;"C2,C3,C4,C6";"C_0603_HandSoldering";4;"0.1uF";;;
7;"C7";"C_0603_HandSoldering";1;"10uF";;;
8;"C8,C9";"C_0603_HandSoldering";2;"10pF";;;
9;"R2,R3";"R_0603_HandSoldering";2;"100K";;;
10;"Y1";"CSTCE_G_RESONATOR";1;"8Mhz";;;
11;"Y2";"Crystal_SMD_SeikoEpson_MC306-4pin_8.0x3.2mm_HandSoldering";1;"32768Hz";;;
12;"SW1";"SW_SPST_EVQPE1";1;"SW_Push";;;
13;"SW2,SW3";"SS-12D00";2;"SW_SPDT";;;
14;"J1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"IO Header";;;
15;"J3";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Pins breakout";;;
